epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1135,1.55812,4.51304,1.75463,0.02068,0.2619,0.04972,0.02897,1.03843,5.01015,1.40134,0.0705357,0.00327381,0.00327381
2,97.0188,1.20756,4.01248,1.47908,0.53856,0.15476,0.19826,0.09226,1.47432,4.46871,1.78246,0.0404703,0.00654173,0.00654173
3,149.836,1.3203,3.59431,1.59644,0.19322,0.05952,0.06577,0.02309,2.05532,6.93238,3.20023,0.0103389,0.00974365,0.00974365
4,203.724,1.34752,3.25364,1.58159,0.67655,0.04762,0.04705,0.00906,3.29654,13.3036,4.70653,0.009703,0.009703,0.009703
5,263.511,1.37696,3.06134,1.5724,0.40121,0.42904,0.42594,0.18572,1.66964,5.90696,2.056,0.009604,0.009604,0.009604
6,325.709,1.34424,2.79154,1.54227,0.4606,0.47573,0.56313,0.3284,1.36599,4.72682,1.67885,0.009505,0.009505,0.009505
7,387.924,1.36461,2.56555,1.53093,0.60865,0.70526,0.78846,0.40704,1.48049,3.46337,1.79378,0.009406,0.009406,0.009406
8,450.226,1.31688,2.38974,1.51044,0.66736,0.83725,0.89662,0.54153,1.38057,2.76795,1.59411,0.009307,0.009307,0.009307
9,510.999,1.28848,2.17262,1.47664,0.52808,0.63428,0.68673,0.37242,1.49132,2.92818,1.72608,0.009208,0.009208,0.009208
10,574.078,1.26141,2.04373,1.42892,0.70339,0.64371,0.77626,0.51145,1.07791,2.5046,1.3574,0.009109,0.009109,0.009109
11,637.528,1.27011,1.98432,1.44033,0.75584,0.9003,0.9041,0.58206,1.23408,2.0839,1.45863,0.00901,0.00901,0.00901
12,706.137,1.219,1.8182,1.41153,0.83207,0.67238,0.88619,0.70049,0.86773,2.11908,1.21021,0.008911,0.008911,0.008911
13,773.644,1.23045,1.76219,1.40462,0.77443,0.69602,0.78169,0.36102,1.71747,2.61508,1.9438,0.008812,0.008812,0.008812
14,841.666,1.2124,1.69344,1.37868,0.54341,0.64359,0.69789,0.54467,0.84305,2.8733,1.189,0.008713,0.008713,0.008713
15,908.137,1.20518,1.59901,1.40684,0.86129,0.82305,0.95577,0.62318,1.22164,1.80629,1.44189,0.008614,0.008614,0.008614
16,979.632,1.21012,1.62065,1.39352,0.80974,0.61217,0.8157,0.4903,1.3551,2.24564,1.5548,0.008515,0.008515,0.008515
17,1048.95,1.21439,1.51662,1.3882,0.85925,0.86459,0.94568,0.5741,1.41434,1.48144,1.57475,0.008416,0.008416,0.008416
18,1119.98,1.18258,1.46308,1.35463,0.69501,0.43466,0.48842,0.30084,1.20092,3.59613,1.47137,0.008317,0.008317,0.008317
19,1192.97,1.15026,1.37109,1.33788,0.81132,0.75225,0.88638,0.66054,1.04164,1.66358,1.31287,0.008218,0.008218,0.008218
20,1271.71,1.15541,1.32324,1.34598,0.87364,0.91552,0.95687,0.72941,0.96396,1.20696,1.24815,0.008119,0.008119,0.008119
21,1351.29,1.16182,1.31369,1.347,0.88177,0.87856,0.96538,0.7698,0.80822,1.19841,1.1581,0.00802,0.00802,0.00802
22,1433.97,1.14412,1.25159,1.32368,0.82098,0.61257,0.7506,0.24276,2.46917,2.23109,2.98133,0.007921,0.007921,0.007921
23,1525.74,1.13371,1.18654,1.3282,0.86693,0.91341,0.97291,0.72865,0.96554,1.06578,1.28096,0.007822,0.007822,0.007822
24,1614.35,1.13182,1.17634,1.33862,0.92215,0.8603,0.96169,0.75912,0.81708,1.0683,1.16125,0.007723,0.007723,0.007723
25,1702.32,1.11225,1.15345,1.29664,0.80303,0.87115,0.96901,0.78443,0.76721,1.22781,1.12553,0.007624,0.007624,0.007624
26,1791.33,1.11866,1.15281,1.30879,0.83367,0.94708,0.97794,0.79775,0.79258,0.95943,1.14165,0.007525,0.007525,0.007525
27,1885.94,1.0993,1.08993,1.30115,0.81359,0.85175,0.93095,0.61329,1.25729,1.24168,1.43571,0.007426,0.007426,0.007426
28,1980.54,1.08694,1.04425,1.28759,0.83827,0.90893,0.9469,0.74208,0.88739,1.02531,1.18544,0.007327,0.007327,0.007327
29,2069.17,1.08017,1.07753,1.28787,0.9134,0.92675,0.98548,0.79267,0.80526,0.84284,1.16116,0.007228,0.007228,0.007228
30,2164.38,1.1025,1.04083,1.2957,0.80608,0.92074,0.96553,0.79444,0.80906,1.03227,1.13893,0.007129,0.007129,0.007129
31,2260.93,1.06868,1.0019,1.27998,0.89279,0.93757,0.99262,0.80932,0.777,0.76043,1.10085,0.00703,0.00703,0.00703
32,2358.9,1.10087,0.97411,1.28267,0.81547,0.93963,0.9693,0.7999,0.77149,0.9866,1.14115,0.006931,0.006931,0.006931
33,2463.52,1.06874,0.94016,1.27887,0.91237,0.96917,0.98786,0.78949,0.79025,0.75519,1.14514,0.006832,0.006832,0.006832
34,2564.72,1.04948,0.97511,1.25573,0.90892,0.92918,0.97637,0.80049,0.79871,0.75438,1.13126,0.006733,0.006733,0.006733
35,2668.95,1.06506,0.93198,1.26328,0.93514,0.96226,0.99103,0.80274,0.7669,0.67362,1.12475,0.006634,0.006634,0.006634
36,2779.49,1.088,1.00109,1.29343,0.95046,0.91056,0.98514,0.82241,0.7132,0.73783,1.08959,0.006535,0.006535,0.006535
37,2891.48,1.04693,0.90569,1.25301,0.95269,0.92686,0.98742,0.77779,0.86498,0.77645,1.15304,0.006436,0.006436,0.006436
38,2997.66,1.03889,0.87552,1.25058,0.96122,0.94872,0.99262,0.82546,0.72228,0.63935,1.07798,0.006337,0.006337,0.006337
39,3106.55,1.04632,0.89559,1.26804,0.73674,0.82876,0.88774,0.72423,0.82263,1.19438,1.13959,0.006238,0.006238,0.006238
40,3228.65,1.02721,0.852,1.23845,0.93592,0.963,0.995,0.83332,0.72794,0.67338,1.07534,0.006139,0.006139,0.006139
41,3353.52,1.02833,0.85377,1.24176,0.94297,0.95029,0.98151,0.82925,0.70134,0.68072,1.07141,0.00604,0.00604,0.00604
42,3469.1,1.02109,0.82122,1.24428,0.91026,0.97742,0.98786,0.83062,0.69188,0.62549,1.06093,0.005941,0.005941,0.005941
43,3594.89,1.00562,0.83167,1.23246,0.93809,0.97146,0.98369,0.8358,0.66191,0.59545,1.03272,0.005842,0.005842,0.005842
44,3723.51,1.02581,0.85934,1.25019,0.85266,0.76025,0.89443,0.73053,0.74369,1.40353,1.11817,0.005743,0.005743,0.005743
45,3848.85,1.02274,0.83198,1.24132,0.84136,0.91816,0.96708,0.82211,0.62856,0.74604,1.03458,0.005644,0.005644,0.005644
46,3969.59,0.96388,0.77851,1.20037,0.96526,0.96967,0.995,0.86427,0.6347,0.50769,1.01715,0.005545,0.005545,0.005545
47,4109.5,1.00155,0.75747,1.22713,0.93604,0.93117,0.9865,0.80838,0.80024,0.70578,1.12299,0.005446,0.005446,0.005446
48,4260.23,0.974,0.80787,1.2292,0.91791,0.93896,0.99262,0.85698,0.65083,0.6313,1.04831,0.005347,0.005347,0.005347
49,4415.93,0.98956,0.77857,1.21721,0.93766,0.97099,0.995,0.87322,0.60496,0.53237,1.0178,0.005248,0.005248,0.005248
50,4576.46,0.9735,0.76167,1.21707,0.95643,0.95033,0.99024,0.84759,0.65933,0.55856,1.03354,0.005149,0.005149,0.005149
51,4721.2,0.9887,0.7693,1.22158,0.95989,0.94855,0.99024,0.86694,0.60932,0.55039,1.01419,0.00505,0.00505,0.00505
52,4870.2,0.95716,0.74348,1.2005,0.97061,0.95571,0.995,0.84345,0.67265,0.54206,1.04182,0.004951,0.004951,0.004951
53,5039.52,0.95286,0.74079,1.19843,0.97133,0.97484,0.99262,0.85362,0.65192,0.49709,1.03962,0.004852,0.004852,0.004852
54,5202.79,0.96796,0.74397,1.20223,0.91585,0.95338,0.99262,0.85316,0.62747,0.59499,1.02373,0.004753,0.004753,0.004753
55,5360.37,0.96359,0.74322,1.20627,0.96595,0.9772,0.99103,0.85942,0.61294,0.51118,1.00108,0.004654,0.004654,0.004654
56,5532.23,0.9464,0.69009,1.19142,0.95812,0.96111,0.9899,0.85014,0.64381,0.55552,1.03132,0.004555,0.004555,0.004555
57,5686.03,0.93303,0.73617,1.19358,0.9525,0.97492,0.995,0.86985,0.59522,0.49448,1.00564,0.004456,0.004456,0.004456
58,5855,0.96545,0.73559,1.19994,0.9581,0.99933,0.995,0.87046,0.59901,0.44376,0.98514,0.004357,0.004357,0.004357
59,6022.22,0.91358,0.69688,1.18348,0.9601,0.97893,0.995,0.87969,0.57875,0.48594,0.98062,0.004258,0.004258,0.004258
60,6200.67,0.95259,0.70246,1.19621,0.97127,0.93527,0.99024,0.87049,0.62368,0.5273,1.02533,0.004159,0.004159,0.004159
61,6380.37,0.91207,0.67999,1.16273,0.95609,0.95527,0.99024,0.86032,0.63587,0.51854,1.01683,0.00406,0.00406,0.00406
62,6601.98,0.95287,0.67073,1.21059,0.94896,0.94344,0.99024,0.85046,0.62341,0.53521,1.00584,0.003961,0.003961,0.003961
